slice_file_name,fsID,salience,fold,classID,class_name
tap5.wav,100131,3,12,4,tap
tap6.wav,100132,3,12,4,tap
tap7.wav,100133,3,12,4,tap
tap8.wav,100134,3,12,4,tap
tap9.wav,100135,3,12,4,tap
tap10.wav,100136,3,12,4,tap
z2.wav,100137,6,14,5,zoom
z3.wav,100138,6,14,5,zoom
z4.wav,100139,6,14,5,zoom
z5.wav,100140,6,14,5,zoom
z6.wav,100141,6,14,5,zoom
z7.wav,100142,6,14,5,zoom
z8.wav,100143,6,14,5,zoom
z9.wav,100144,6,14,5,zoom
z10.wav,100145,6,14,5,zoom
lt2.wav,100146,2,11,4,long_tap
tap3.wav,100147,3,12,4,tap
tap4.wav,100148,3,12,4,tap
tap2.wav,100149,3,12,4,tap
tap5.wav,100150,3,12,4,tap
lt3.wav,100151,2,11,4,long_tap
lt4.wav,100152,2,11,4,long_tap
lt5.wav,100153,2,11,4,long_tap
lt6.wav,100154,2,11,4,long_tap
lt7.wav,100155,2,11,4,long_tap
lt8.wav,100156,2,11,4,long_tap
lt9.wav,100157,2,11,4,long_tap
lt10.wav,100158,2,11,4,long_tap
sw1.wav,100159,4,13,5,swipe
sw2.wav,100160,5,13,5,swipe
z1.wav,100161,6,14,5,zoom
dt1.wav,100162,7,15,5,double_tap
dt2.wav,100163,7,15,5,double_tap
dt3.wav,100164,7,15,5,double_tap
dt4.wav,100165,7,15,5,double_tap
dt5.wav,100166,7,15,5,double_tap
dt6.wav,100167,7,15,5,double_tap
dt7.wav,100168,7,15,5,double_tap
dt8.wav,100169,7,15,5,double_tap
sw3.wav,100170,4,13,5,swipe
sw4.wav,100171,5,13,5,swipe
sw5.wav,100172,4,13,5,swipe
sw6.wav,100173,5,13,5,swipe
sw7.wav,100174,4,13,5,swipe
sw8.wav,100175,5,13,5,swipe
sw9.wav,100176,4,13,5,swipe
sw10.wav,100177,5,13,5,swipe
tap1.wav,100178,3,12,4,tap
tap5.wav,100179,3,12,4,tap
tap6.wav,100180,3,12,4,tap
tap7.wav,100181,3,12,4,tap
tap8.wav,100182,3,12,4,tap
tap9.wav,100183,3,12,4,tap
tap10.wav,100184,3,12,4,tap
tap5.wav,100859,3,12,4,tap
tap11.wav,100860,3,12,4,tap
tap12.wav,100861,3,12,4,tap
tap13.wav,100862,3,12,4,tap
tap14.wav,100863,3,12,4,tap
tap15.wav,100864,3,12,4,tap
tap16.wav,100865,3,12,4,tap
tap17.wav,100866,3,12,4,tap
tap18.wav,100867,3,12,4,tap
tap19.wav,100868,3,12,4,tap
tap20.wav,100869,3,12,4,tap
tap21.wav,100870,3,12,4,tap
tap22.wav,100871,3,12,4,tap
tap23.wav,100872,3,12,4,tap
tap24.wav,100873,3,12,4,tap
tap25.wav,100874,3,12,4,tap
tap11.wav,100875,3,12,4,tap
tap12.wav,100876,3,12,4,tap
tap13.wav,100877,3,12,4,tap
tap14.wav,100878,3,12,4,tap
tap15.wav,100879,3,12,4,tap
tap16.wav,100880,3,12,4,tap
tap17.wav,100881,3,12,4,tap
tap18.wav,100882,3,12,4,tap
tap19.wav,100883,3,12,4,tap
tap20.wav,100884,3,12,4,tap
tap21.wav,100885,3,12,4,tap
tap22.wav,100886,3,12,4,tap
tap23.wav,100887,3,12,4,tap
tap24.wav,100888,3,12,4,tap
tap25.wav,100889,3,12,4,tap
tap11.wav,100890,3,12,4,tap
tap12.wav,100891,3,12,4,tap
tap13.wav,100892,3,12,4,tap
tap14.wav,100893,3,12,4,tap
tap15.wav,100894,3,12,4,tap
tap16.wav,100895,3,12,4,tap
tap17.wav,100896,3,12,4,tap
tap18.wav,100897,3,12,4,tap
tap19.wav,100898,3,12,4,tap
tap20.wav,100899,3,12,4,tap
tap21.wav,100900,3,12,4,tap
tap22.wav,100901,3,12,4,tap
tap23.wav,100902,3,12,4,tap
tap24.wav,100903,3,12,4,tap
tap25.wav,100904,3,12,4,tap
tap11.wav,100905,3,12,4,tap
tap12.wav,100906,3,12,4,tap
tap13.wav,100907,3,12,4,tap
tap14.wav,100908,3,12,4,tap
tap15.wav,100909,3,12,4,tap
tap16.wav,100910,3,12,4,tap
tap17.wav,100911,3,12,4,tap
tap18.wav,100912,3,12,4,tap
tap19.wav,100913,3,12,4,tap
tap20.wav,100914,3,12,4,tap
tap21.wav,100915,3,12,4,tap
tap22.wav,100916,3,12,4,tap
tap23.wav,100917,3,12,4,tap
tap24.wav,100918,3,12,4,tap
tap25.wav,100919,3,12,4,tap
tap100.wav,1,3,12,4,tap
tap101.wav,2,3,12,4,tap
